wl;up_coef;dw_coef;wl_F;up_coef_F;dw_coef_F;Device ID
671.2416309;0.002984423;0.000956468;434.8850345;0.001068355;8.86762E-05;
671.415714;0.002978492;0.000954649;435.6246174;0.001056115;8.77336E-05;
671.5897618;0.002972534;0.00095286;436.3640177;0.00104449;8.68299E-05;
671.7637744;0.002966535;0.000951109;437.1032354;0.001033463;8.59652E-05;
671.9377517;0.002960489;0.0009494;437.8422705;0.001023016;8.51394E-05;
672.1116937;0.002954418;0.000947729;438.5811229;0.001013135;8.43525E-05;
672.2856006;0.002948351;0.000946095;439.3197926;0.0010038;8.36045E-05;
672.4594721;0.002942317;0.000944492;440.0582797;0.000994997;8.28956E-05;
672.6333085;0.002936346;0.000942916;440.796584;0.000986705;8.22254E-05;
672.8071096;0.002930468;0.000941365;441.5347056;0.000978893;8.15932E-05;
672.9808755;0.002924711;0.000939834;442.2726445;0.000971528;8.09981E-05;
673.1546061;0.002919097;0.000938319;443.0104006;0.000964577;8.04392E-05;
673.3283015;0.002913617;0.000936813;443.747974;0.000958006;7.99154E-05;
673.5019617;0.002908256;0.000935309;444.4853645;0.000951782;7.94259E-05;
673.6755867;0.002902997;0.000933799;445.2225723;0.000945872;7.89698E-05;
673.8491764;0.002897826;0.000932277;445.9595972;0.00094024;7.85451E-05;
674.022731;0.002892726;0.000930734;446.6964392;0.000934849;7.81465E-05;
674.1962503;0.00288768;0.000929165;447.4330984;0.000929659;7.77676E-05;
674.3697344;0.002882676;0.000927564;448.1695747;0.00092463;7.7402E-05;
674.5431833;0.002877708;0.000925936;448.9058681;0.000919723;7.70434E-05;
674.716597;0.002872771;0.000924288;449.6419786;0.000914898;7.66856E-05;
674.8899756;0.002867863;0.000922627;450.3779062;0.000910112;7.63226E-05;
675.0633189;0.002862979;0.000920961;451.1136508;0.00090531;7.59509E-05;
675.236627;0.002858117;0.000919296;451.8492124;0.000900431;7.55673E-05;
675.4098999;0.002853271;0.000917639;452.584591;0.000895414;7.51687E-05;
675.5831377;0.002848439;0.000915998;453.3197867;0.000890202;7.4752E-05;
675.7563402;0.002843619;0.000914373;454.0547993;0.000884733;7.43141E-05;
675.9295076;0.002838809;0.000912767;454.7896288;0.000878949;7.38518E-05;
676.1026398;0.002834006;0.000911181;455.5242753;0.0008728;7.33626E-05;
676.2757368;0.00282921;0.000909616;456.2587387;0.000866279;7.28451E-05;
676.4487986;0.002824417;0.000908074;456.9930191;0.000859387;7.22984E-05;
676.6218253;0.002819626;0.000906557;457.7271163;0.000852126;7.17218E-05;
676.7948168;0.002814836;0.000905065;458.4610304;0.000844499;7.11144E-05;
676.9677732;0.002810051;0.000903593;459.1947613;0.000836509;7.04754E-05;
677.1406944;0.002805276;0.000902137;459.9283091;0.000828156;6.98038E-05;
677.3135804;0.002800516;0.000900693;460.6616736;0.000819444;6.90992E-05;
677.4864313;0.002795776;0.000899254;461.394855;0.00081037;6.83618E-05;
677.659247;0.002791061;0.000897817;462.1278532;0.000800933;6.75924E-05;
677.8320276;0.002786376;0.000896377;462.8606681;0.000791132;6.67915E-05;
678.004773;0.002781726;0.000894929;463.5932998;0.000780965;6.59597E-05;
678.1774833;0.002777115;0.000893478;464.3257481;0.00077043;6.50977E-05;
678.3501584;0.002772548;0.00089203;465.0580132;0.000759528;6.42062E-05;
678.5227984;0.002768029;0.000890588;465.790095;0.000748275;6.32861E-05;
678.6954033;0.002763563;0.000889159;466.5219935;0.00073669;6.23383E-05;
678.8679731;0.002759153;0.000887748;467.2537086;0.000724789;6.13637E-05;
679.0405077;0.002754806;0.00088636;467.9852404;0.000712592;6.03634E-05;
679.2130072;0.002750522;0.000884999;468.7165888;0.000700116;5.93383E-05;
679.3854715;0.002746298;0.000883665;469.4477537;0.000687379;5.82894E-05;
679.5579008;0.002742125;0.000882356;470.1787353;0.000674401;5.72178E-05;
679.7302949;0.002737998;0.000881072;470.9095334;0.000661207;5.61256E-05;
